out	raw	scene	title	origin	licence	loop_start_s	notes
music/act2_natlan/boss/Music_Combat_TheAbyssXiuhcoatl_ZhouBen_N306.ogg	media/raw/music/act2_natlan/boss/Music_Combat_TheAbyssXiuhcoatl_ZhouBen_N306.ogg	act2_natlan/boss	MusicSegment/Music_Combat_TheAbyssXiuhcoatl_ZhouBen_N306	Genshin Impact install, Music31.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: Xiuhcoatl; the act-2 mapping gives Natlan no boss reading on the Hive, so the nation's strongest boss theme stands.
music/act2_natlan/map/Music_Explore_BW_NaTa_Day_N002.ogg	media/raw/music/act2_natlan/map/Music_Explore_BW_NaTa_Day_N002.ogg	act2_natlan/map	MusicSegment/Music_Explore_BW_NaTa_Day_N002	Genshin Impact install, Music15.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: Natlan's longest daytime overworld loop (112.3s).
music/act2_inazuma/combat/music_combat_DaoQi_A.ogg	media/raw/music/act2_inazuma/combat/music_combat_DaoQi_A.ogg	act2_inazuma/combat	MusicSegment/music_combat_DaoQi_A	Genshin Impact install, Music6.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		STANDS (was act2_inazuma, 2026-09-17): Battles of Inazuma A.
music/act2_inazuma/elite/music_combat_YXG_Elite_loop_02.ogg	media/raw/music/act2_inazuma/elite/music_combat_YXG_Elite_loop_02.ogg	act2_inazuma/elite	MusicSegment/music_combat_YXG_Elite_loop_02	Genshin Impact install, Music5.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: a real elite_ name (Enkanomiya, Inazuma), 248.1s.
music/act2_inazuma/boss/Music_Combat_Shougun_Mita_S01.ogg	media/raw/music/act2_inazuma/boss/Music_Combat_Shougun_Mita_S01.ogg	act2_inazuma/boss	MusicSegment/Music_Combat_Shougun_Mita_S01	Genshin Impact install, Music5.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: Raiden Shogun. Kaiser Crab's top pick, La Signora, is scored Snezhnaya (act2 mapping line 61), so the face's own archon is the nation-correct read.
music/act2_inazuma/map/music_explore_DaoQi_A4.ogg	media/raw/music/act2_inazuma/map/music_explore_DaoQi_A4.ogg	act2_inazuma/map	MusicSegment/music_explore_DaoQi_A4	Genshin Impact install, Music2.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: Inazuma mainland day loop; the YXG family is Enkanomiya and reads as a different place.
music/act3_fontaine/combat/music_combat_FengDan_F012.ogg	media/raw/music/act3_fontaine/combat/music_combat_FengDan_F012.ogg	act3_fontaine/combat	MusicSegment/music_combat_FengDan_F012	Genshin Impact install, Music25.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		[USER] 2026-09-17, replacing the F011 default: preferred by ear.
music/act3_fontaine/elite/music_combat_FengDan_F013.ogg	media/raw/music/act3_fontaine/elite/music_combat_FengDan_F013.ogg	act3_fontaine/elite	MusicSegment/music_combat_FengDan_F013	Genshin Impact install, Music14.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: the face's remaining combat variant; no elite_ track exists for Fontaine.
music/act3_fontaine/boss/music_combat_Devourer_S01_F210_02.ogg	media/raw/music/act3_fontaine/boss/music_combat_Devourer_S01_F210_02.ogg	act3_fontaine/boss	MusicSegment/music_combat_Devourer_S01_F210_02	Genshin Impact install, Music12.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: the All-Devouring Narwhal. Iniquitous Baptist (act3 mapping line 70) has no theme, so Fontaine's own weekly boss stands.
music/act3_fontaine/map/music_explore_BW_F128.ogg	media/raw/music/act3_fontaine/map/music_explore_BW_F128.ogg	act3_fontaine/map	MusicSegment/music_explore_BW_F128	Genshin Impact install, Music27.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: Fontaine's longest overworld day loop (152.5s). NOT in the 419-file extraction -- the music_explore_BW_F<nnn> family carries no nation token, so classify.py dropped all 39; pulled from scan-music.tsv with the same ww2ogg+ReVorb pipeline, no re-encode.
music/act3_sumeru/combat/music_combat_XuMi_X61.ogg	media/raw/music/act3_sumeru/combat/music_combat_XuMi_X61.ogg	act3_sumeru/combat	MusicSegment/music_combat_XuMi_X61	Genshin Impact install, Music28.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		STANDS (was act3_sumeru, 2026-09-17): Battles of Sumeru X61.
music/act3_sumeru/elite/music_combat_elite_XuMi_X51.ogg	media/raw/music/act3_sumeru/elite/music_combat_elite_XuMi_X51.ogg	act3_sumeru/elite	MusicSegment/music_combat_elite_XuMi_X51	Genshin Impact install, Music17.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: a real elite_ name for Sumeru, 247.6s.
music/act3_sumeru/boss/music_combat_Scaramouche_S03_loop.ogg	media/raw/music/act3_sumeru/boss/music_combat_Scaramouche_S03_loop.ogg	act3_sumeru/boss	MusicSegment/music_combat_Scaramouche_S03_loop	Genshin Impact install, Music19.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: Shouki no Kami, the act-3 mapping's literal match on Aeonglass (act3 mapping line 71).
music/act3_sumeru/map/music_explore_XuMi_BW_X21.ogg	media/raw/music/act3_sumeru/map/music_explore_XuMi_BW_X21.ogg	act3_sumeru/map	MusicSegment/music_explore_XuMi_BW_X21	Genshin Impact install, Music1.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: the Sumeru rainforest day loop; the CYJY family is the desert and reads as a different place.
music/menu/music_login_common.ogg	media/raw/music/menu/music_login_common.ogg	menu	MusicSegment/music_login_common	Genshin Impact install, Music31.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default, GLOBAL slot: the login theme, the closest thing Genshin has to a main-menu track. Plays over event:/music/menu_update only.
music/shop/music_city_mengde_day_03.ogg	media/raw/music/shop/music_city_mengde_day_03.ogg	shop	MusicSegment/music_city_mengde_day_03	Genshin Impact install, Music17.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default, GLOBAL slot: a bright city theme for the merchant room; deliberately not per-face, so a shop reads the same in every nation.
music/rest/music_scene_mengde_saloon.ogg	media/raw/music/rest/music_scene_mengde_saloon.ogg	rest	MusicSegment/music_scene_mengde_saloon	Genshin Impact install, Music22.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default, GLOBAL slot: the Angel's Share tavern interior, the closest thing in Genshin to a rest site.
