surface	character	archetype_or_deck	pilot	cut	n_runs	n_fights	seed	stamp	damage_all_ops	damage_from_reactions	damage_from_base_ops	share_pooled	share_pooled_ci_lo	share_pooled_ci_hi	share_fight_mean	share_fight_mean_ci_lo	share_fight_mean_ci_hi	amp	splash	dot	reactions	reactions_per_fight	fights_with_any_reaction_damage	aura_ops_total	aura_ops_per_fight	aura_ops_detail	aura_applications	aura_applications_per_fight	aura_applications_by_source	aura_applications_by_element	auras_wasted	reactions_by_name	reaction_payoff_evaluated	reaction_payoff_fired	reaction_payoff_rate	reaction_payoff_detail	reaction_payoff_absent	aura_payoff_evaluated	aura_payoff_fired	aura_payoff_rate	aura_payoff_detail	aura_payoff_absent	payoff_cards_drafted
cohort	klee	reaction	reaction	act2	3000	18175	20260805	cell=trackH-klee-reaction seed=20260805 runs=3000 RT7/D14/P3/C4	2532960	318440	2214520	0.12572	0.12422	0.1272	0.12742	0.12594	0.12891	218885	94046	5509	74441	4.0958	17190	40489	2.2277	apply_aura=25593;refresh_all_auras=539;swirl=14357	117221	6.4496	apply_aura_op=9041;hit=90698;swirl_spread=17482	cryo=6936;electro=4324;hydro=11570;pyro=94391	6323	electrocharged=919;frozen=1420;melt=20083;overload=11346;superconduct=593;swirl=11688;vaporize=28392	14645	6911	0.4719	reaction_triggered_by_this=6911/14645	reaction_triggered_this_turn	4295	594	0.1383	target_has_nonpyro_aura=594/4295	-	
cohort	klee	reaction	reaction	act3	3000	5272	20260805	cell=trackH-klee-reaction seed=20260805 runs=3000 RT7/D14/P3/C4	1012527	125699	886828	0.12414	0.12139	0.12702	0.12668	0.12394	0.12942	83881	39252	2566	25526	4.8418	5017	14210	2.6954	apply_aura=8964;refresh_all_auras=273;swirl=4973	37101	7.0374	apply_aura_op=3173;hit=28568;swirl_spread=5360	cryo=2233;electro=1790;hydro=3956;pyro=29122	933	electrocharged=433;frozen=517;melt=6055;overload=5020;superconduct=234;swirl=3911;vaporize=9356	3961	1971	0.4976	reaction_triggered_by_this=1971/3961	reaction_triggered_this_turn	1137	204	0.17942	target_has_nonpyro_aura=204/1137	-	
cohort	furina	salon	salon	all	3000	38814	20260805	cell=trackH-furina-salon seed=20260805 runs=3000 RT7/D14/P3/C4	4362012	187208	4174804	0.04292	0.04234	0.04348	0.04261	0.04203	0.04319	137099	11301	38808	100720	2.5949	19352	81392	2.097	apply_aura=30507;refresh_all_auras=4003;swirl=46882	181832	4.6847	apply_aura_op=14046;hit=122925;swirl_spread=44861	cryo=33476;electro=6038;hydro=109054;pyro=33264	26559	electrocharged=6367;frozen=29999;melt=4182;overload=1299;superconduct=1510;swirl=30693;vaporize=26670	80	57	0.7125	reaction_triggered_by_this=57/80	reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	reaction_triggered_this_turn:audience_participation=290;reaction_triggered_this_turn:chevreuse_vanguards_valor=19
cohort	furina	salon	salon	act1	3000	21655	20260805	cell=trackH-furina-salon seed=20260805 runs=3000 RT7/D14/P3/C4	1704482	74943	1629539	0.04397	0.04312	0.04483	0.04225	0.04142	0.04308	60394	6054	8495	46287	2.1375	9298	36025	1.6636	apply_aura=7864;refresh_all_auras=2237;swirl=25924	86968	4.0161	apply_aura_op=3545;hit=60946;swirl_spread=22477	cryo=22058;electro=2513;hydro=39136;pyro=23261	14660	electrocharged=1634;frozen=12327;melt=2550;overload=749;superconduct=799;swirl=15992;vaporize=12236	6	4	0.66667	reaction_triggered_by_this=4/6	reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	furina	salon	salon	act2	3000	12690	20260805	cell=trackH-furina-salon seed=20260805 runs=3000 RT7/D14/P3/C4	1815657	81304	1734353	0.04478	0.04384	0.04576	0.04535	0.04438	0.04631	57158	4267	19879	39965	3.1493	7446	33010	2.6013	apply_aura=15795;refresh_all_auras=1469;swirl=15746	70754	5.5756	apply_aura_op=7638;hit=46365;swirl_spread=16751	cryo=8764;electro=2635;hydro=51081;pyro=8274	9621	electrocharged=3196;frozen=12606;melt=1334;overload=447;superconduct=530;swirl=10856;vaporize=10996	39	24	0.61538	reaction_triggered_by_this=24/39	reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	furina	salon	salon	act3	3000	4469	20260805	cell=trackH-furina-salon seed=20260805 runs=3000 RT7/D14/P3/C4	841873	30961	810912	0.03678	0.03535	0.0382	0.0366	0.03525	0.03794	19547	980	10434	14468	3.2374	2608	12357	2.765	apply_aura=6848;refresh_all_auras=297;swirl=5212	24110	5.3949	apply_aura_op=2863;hit=15614;swirl_spread=5633	cryo=2654;electro=890;hydro=18837;pyro=1729	2278	electrocharged=1537;frozen=5066;melt=298;overload=103;superconduct=181;swirl=3845;vaporize=3438	35	29	0.82857	reaction_triggered_by_this=29/35	reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	furina	spotlight	spotlight	all	3000	35684	20260805	cell=trackH-furina-spotlight seed=20260805 runs=3000 RT7/D14/P3/C4	3657605	246602	3411003	0.06742	0.06662	0.06822	0.06152	0.06074	0.06229	177631	34539	34432	100987	2.83	19110	98502	2.7604	apply_aura=37209;refresh_all_auras=1202;swirl=60091	169942	4.7624	apply_aura_op=19933;hit=100608;swirl_spread=49401	cryo=44285;electro=12682;hydro=60535;pyro=52440	24251	electrocharged=5789;frozen=19773;melt=10464;overload=4331;superconduct=3961;swirl=35473;vaporize=21196	552	374	0.67754	reaction_triggered_by_this=374/552	reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	reaction_triggered_this_turn:audience_participation=222;reaction_triggered_this_turn:chevreuse_vanguards_valor=100
cohort	furina	spotlight	spotlight	act1	3000	21979	20260805	cell=trackH-furina-spotlight seed=20260805 runs=3000 RT7/D14/P3/C4	1734090	101032	1633058	0.05826	0.05721	0.0593	0.05389	0.0529	0.05488	77110	15231	8691	48291	2.1971	9817	45420	2.0665	apply_aura=11136;refresh_all_auras=662;swirl=33622	87417	3.9773	apply_aura_op=5741;hit=55775;swirl_spread=25901	cryo=27713;electro=5416;hydro=22379;pyro=31909	13668	electrocharged=1605;frozen=8618;melt=5749;overload=2056;superconduct=1928;swirl=19485;vaporize=8850	62	44	0.70968	reaction_triggered_by_this=44/62	reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	furina	spotlight	spotlight	act2	3000	11680	20260805	cell=trackH-furina-spotlight seed=20260805 runs=3000 RT7/D14/P3/C4	1573849	120091	1453758	0.0763	0.07489	0.07772	0.07416	0.07282	0.07551	83018	16568	20505	44204	3.7846	7842	44432	3.8041	apply_aura=21507;refresh_all_auras=477;swirl=22448	70317	6.0203	apply_aura_op=11806;hit=38411;swirl_spread=20100	cryo=14113;electro=6103;hydro=32085;pyro=18016	9445	electrocharged=3357;frozen=9258;melt=4035;overload=1953;superconduct=1708;swirl=13502;vaporize=10391	349	237	0.67908	reaction_triggered_by_this=237/349	reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	furina	spotlight	spotlight	act3	3000	2025	20260805	cell=trackH-furina-spotlight seed=20260805 runs=3000 RT7/D14/P3/C4	349666	25479	324187	0.07287	0.06984	0.07583	0.07131	0.06844	0.07418	17503	2740	5236	8492	4.1936	1451	8650	4.2716	apply_aura=4566;refresh_all_auras=63;swirl=4021	12208	6.0286	apply_aura_op=2386;hit=6422;swirl_spread=3400	cryo=2459;electro=1163;hydro=6071;pyro=2515	1138	electrocharged=827;frozen=1897;melt=680;overload=322;superconduct=325;swirl=2486;vaporize=1955	141	93	0.65957	reaction_triggered_by_this=93/141	reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	furina	fanfare	fanfare	all	3000	33900	20260805	cell=trackH-furina-fanfare seed=20260805 runs=3000 RT7/D14/P3/C4	3449680	169708	3279972	0.0492	0.04851	0.04985	0.04671	0.04604	0.04739	127156	20929	21623	79760	2.3528	16617	68658	2.0253	apply_aura=17632;refresh_all_auras=1724;swirl=49302	148578	4.3828	apply_aura_op=9279;hit=99616;swirl_spread=39683	cryo=40100;electro=8590;hydro=52793;pyro=47095	26910	electrocharged=3763;frozen=16569;melt=8657;overload=2636;superconduct=2546;swirl=28172;vaporize=17417	82	46	0.56098	reaction_triggered_by_this=46/82	reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	reaction_triggered_this_turn:audience_participation=247
cohort	furina	fanfare	fanfare	act1	3000	21045	20260805	cell=trackH-furina-fanfare seed=20260805 runs=3000 RT7/D14/P3/C4	1645799	75764	1570035	0.04603	0.04511	0.04692	0.04345	0.04256	0.04433	59142	10251	6371	42131	2.0019	8730	37029	1.7595	apply_aura=6388;refresh_all_auras=1029;swirl=29612	82646	3.9271	apply_aura_op=3247;hit=56251;swirl_spread=23148	cryo=26520;electro=3837;hydro=22079;pyro=30210	16281	electrocharged=1205;frozen=7943;melt=4853;overload=1393;superconduct=1358;swirl=17070;vaporize=8309	9	5	0.55556	reaction_triggered_by_this=5/9	reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	furina	fanfare	fanfare	act2	3000	11176	20260805	cell=trackH-furina-fanfare seed=20260805 runs=3000 RT7/D14/P3/C4	1523609	80548	1443061	0.05287	0.05172	0.05395	0.05279	0.05168	0.05391	59438	9221	11889	32551	2.9126	6857	27417	2.4532	apply_aura=9392;refresh_all_auras=660;swirl=17365	57775	5.1696	apply_aura_op=5073;hit=38035;swirl_spread=14667	cryo=12162;electro=4048;hydro=26334;pyro=15231	9678	electrocharged=2023;frozen=7293;melt=3458;overload=1071;superconduct=1012;swirl=9758;vaporize=7936	57	31	0.54386	reaction_triggered_by_this=31/57	reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	furina	fanfare	fanfare	act3	3000	1679	20260805	cell=trackH-furina-fanfare seed=20260805 runs=3000 RT7/D14/P3/C4	280272	13396	266876	0.0478	0.04526	0.05052	0.0472	0.04465	0.04974	8576	1457	3363	5078	3.0244	1030	4212	2.5086	apply_aura=1852;refresh_all_auras=35;swirl=2325	8157	4.8582	apply_aura_op=959;hit=5330;swirl_spread=1868	cryo=1418;electro=705;hydro=4380;pyro=1654	951	electrocharged=535;frozen=1333;melt=346;overload=172;superconduct=176;swirl=1344;vaporize=1172	16	10	0.625	reaction_triggered_by_this=10/16	reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	kokomi	commander	commander	all	3000	32099	20260805	cell=trackH-kokomi-commander seed=20260805 runs=3000 RT7/D14/P3/C4	3270462	159827	3110635	0.04887	0.04808	0.04966	0.03991	0.03927	0.04055	34770	3275	121782	38582	1.202	14513	13302	0.4144	apply_aura=5975;swirl=7327	109012	3.3961	apply_aura_op=1953;hit=99242;swirl_spread=7817	cryo=623;electro=9177;hydro=96120;pyro=3092	18528	electrocharged=22361;frozen=2430;melt=39;overload=389;superconduct=95;swirl=5757;vaporize=7511	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	reaction_triggered_this_turn:chevreuse_vanguards_valor=1
cohort	kokomi	commander	commander	act1	3000	19807	20260805	cell=trackH-kokomi-commander seed=20260805 runs=3000 RT7/D14/P3/C4	1523678	54412	1469266	0.03571	0.03478	0.03659	0.02893	0.02821	0.02965	13083	734	40595	14575	0.7359	6271	4617	0.2331	apply_aura=1843;swirl=2774	54097	2.7312	apply_aura_op=508;hit=50874;swirl_spread=2715	cryo=166;electro=3099;hydro=49601;pyro=1231	8869	electrocharged=8379;frozen=762;melt=6;overload=100;superconduct=8;swirl=2226;vaporize=3094	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	kokomi	commander	commander	act2	3000	10312	20260805	cell=trackH-kokomi-commander seed=20260805 runs=3000 RT7/D14/P3/C4	1399260	82958	1316302	0.05929	0.05798	0.06061	0.0569	0.05568	0.05812	17670	2010	63278	19403	1.8816	6809	7068	0.6854	apply_aura=3418;swirl=3650	46009	4.4617	apply_aura_op=1200;hit=40626;swirl_spread=4183	cryo=364;electro=4979;hydro=39102;pyro=1564	8539	electrocharged=11249;frozen=1332;melt=25;overload=228;superconduct=65;swirl=2833;vaporize=3671	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	kokomi	commander	commander	act3	3000	1980	20260805	cell=trackH-kokomi-commander seed=20260805 runs=3000 RT7/D14/P3/C4	347524	22457	325067	0.06462	0.06153	0.06771	0.06129	0.05848	0.06409	4017	531	17909	4604	2.3253	1433	1617	0.8167	apply_aura=714;swirl=903	8906	4.498	apply_aura_op=245;hit=7742;swirl_spread=919	cryo=93;electro=1099;hydro=7417;pyro=297	1120	electrocharged=2733;frozen=336;melt=8;overload=61;superconduct=22;swirl=698;vaporize=746	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	kokomi	priest	priest	all	3000	28439	20260805	cell=trackH-kokomi-priest seed=20260805 runs=3000 RT7/D14/P3/C4	2769247	55718	2713529	0.02012	0.01952	0.02077	0.01602	0.01555	0.0165	14174	385	41159	13566	0.477	5466	5549	0.1951	apply_aura=3468;swirl=2081	80415	2.8276	apply_aura_op=1016;hit=76975;swirl_spread=2424	cryo=277;electro=2429;hydro=76510;pyro=1199	17485	electrocharged=7161;frozen=1419;melt=16;overload=48;superconduct=9;swirl=1774;vaporize=3139	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	none
cohort	kokomi	priest	priest	act1	3000	18745	20260805	cell=trackH-kokomi-priest seed=20260805 runs=3000 RT7/D14/P3/C4	1409054	20520	1388534	0.01456	0.01385	0.01526	0.01155	0.01103	0.01207	6245	126	14149	5352	0.2855	2338	2092	0.1116	apply_aura=1269;swirl=823	45551	2.43	apply_aura_op=322;hit=44325;swirl_spread=904	cryo=100;electro=985;hydro=43845;pyro=621	9126	electrocharged=2645;frozen=474;melt=7;overload=18;superconduct=4;swirl=714;vaporize=1490	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	kokomi	priest	priest	act2	3000	8218	20260805	cell=trackH-kokomi-priest seed=20260805 runs=3000 RT7/D14/P3/C4	1094644	27909	1066735	0.0255	0.02439	0.02663	0.0244	0.02336	0.02543	6573	199	21137	6628	0.8065	2581	2796	0.3402	apply_aura=1754;swirl=1042	29610	3.6031	apply_aura_op=550;hit=27805;swirl_spread=1255	cryo=143;electro=1211;hydro=27745;pyro=511	7327	electrocharged=3602;frozen=712;melt=8;overload=23;superconduct=3;swirl=872;vaporize=1408	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	kokomi	priest	priest	act3	3000	1476	20260805	cell=trackH-kokomi-priest seed=20260805 runs=3000 RT7/D14/P3/C4	265549	7289	258260	0.02745	0.0249	0.03004	0.02625	0.02381	0.02869	1356	60	5873	1586	1.0745	547	661	0.4478	apply_aura=445;swirl=216	5254	3.5596	apply_aura_op=144;hit=4845;swirl_spread=265	cryo=34;electro=233;hydro=4920;pyro=67	1032	electrocharged=914;frozen=233;melt=1;overload=7;superconduct=2;swirl=188;vaporize=241	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	kokomi	assist	assist	all	3000	24375	20260805	cell=trackH-kokomi-assist seed=20260805 runs=3000 RT7/D14/P3/C4	2167551	59647	2107904	0.02752	0.02668	0.0284	0.02067	0.02007	0.02128	13194	567	45886	14774	0.6061	5380	6352	0.2606	apply_aura=4099;swirl=2253	73195	3.0029	apply_aura_op=1194;hit=69341;swirl_spread=2660	cryo=381;electro=2792;hydro=68763;pyro=1259	16510	electrocharged=7819;frozen=1775;melt=7;overload=68;superconduct=32;swirl=1913;vaporize=3160	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	reaction_triggered_this_turn:chevreuse_vanguards_valor=1
cohort	kokomi	assist	assist	act1	3000	17778	20260805	cell=trackH-kokomi-assist seed=20260805 runs=3000 RT7/D14/P3/C4	1312974	24784	1288190	0.01888	0.01801	0.01969	0.0145	0.0139	0.0151	6310	214	18260	6658	0.3745	2637	2869	0.1614	apply_aura=1740;swirl=1129	46538	2.6177	apply_aura_op=439;hit=44856;swirl_spread=1243	cryo=150;electro=1250;hydro=44466;pyro=672	10253	electrocharged=3360;frozen=725;melt=3;overload=31;superconduct=2;swirl=955;vaporize=1582	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	kokomi	assist	assist	act2	3000	6092	20260805	cell=trackH-kokomi-assist seed=20260805 runs=3000 RT7/D14/P3/C4	767036	30415	736621	0.03965	0.0379	0.0414	0.03652	0.03501	0.03803	6521	323	23571	7198	1.1815	2460	3145	0.5163	apply_aura=2115;swirl=1030	24530	4.0266	apply_aura_op=686;hit=22537;swirl_spread=1307	cryo=201;electro=1350;hydro=22413;pyro=566	5950	electrocharged=3865;frozen=898;melt=4;overload=35;superconduct=21;swirl=876;vaporize=1499	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	kokomi	assist	assist	act3	3000	505	20260805	cell=trackH-kokomi-assist seed=20260805 runs=3000 RT7/D14/P3/C4	87541	4448	83093	0.05081	0.04453	0.0573	0.0468	0.04113	0.05247	363	30	4055	918	1.8178	283	338	0.6693	apply_aura=244;swirl=94	2127	4.2119	apply_aura_op=69;hit=1948;swirl_spread=110	cryo=30;electro=192;hydro=1884;pyro=21	307	electrocharged=594;frozen=152;overload=2;superconduct=9;swirl=82;vaporize=79	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
cohort	ref_ironclad	generic	generic	all	3000	46683	20260805	cell=trackH-ref_ironclad-generic seed=20260805 runs=3000 RT7/D14/P3/C4	5790563	2734	5787829	0.00047	0.00041	0.00053	0.00037	0.00032	0.00042	227	1000	1507	593	0.0127	334	6371	0.1365	apply_aura=4559;swirl=1812	14909	0.3194	apply_aura_op=4160;hit=10621;swirl_spread=128	electro=5439;hydro=4226;pyro=5244	7701	electrocharged=225;overload=129;swirl=93;vaporize=146	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	none
cohort	ref_ironclad	generic	generic	act1	3000	22389	20260805	cell=trackH-ref_ironclad-generic seed=20260805 runs=3000 RT7/D14/P3/C4	1816139	397	1815742	0.00022	0.00015	0.0003	0.00016	0.0001	0.00021	21	231	145	95	0.0042	46	1462	0.0653	apply_aura=892;swirl=570	4297	0.1919	apply_aura_op=814;hit=3464;swirl_spread=19	electro=1642;hydro=823;pyro=1832	2208	electrocharged=21;overload=32;swirl=15;vaporize=27	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
