character	id	rarity	archetypes	role	solve_authored	solve_suggested	diverges	tempo_fight	tempo_run	aoe	generates	reads	inherited_early	inherited_mid	inherited_late
furina	salon_debut	basic	salon	enabler	scaling,utility	block,frontload,scaling,sustain,utility,velocity	YES	early,mid,late	early		salon_member,salon_member_chevalmarin,salon_member_crabaletta,salon_member_usher	salon_member	block,frontload,velocity	block,frontload,sustain,utility,velocity	block,frontload,sustain,utility,velocity
furina	casting_call	common	salon	enabler	scaling	block,frontload,scaling,velocity	YES	late	early		fanfare,salon_member	salon_member	block,frontload,velocity	block,frontload,velocity	block,frontload,scaling,velocity
furina	gentilhomme_usher	common	salon	enabler	block,utility	block,frontload,scaling,velocity	YES	early,mid,late	early		salon_member,salon_member_usher	salon_member	block,frontload,velocity	block,frontload,velocity	block,frontload,velocity
furina	surintendante_chevalmarin	common	salon	enabler	sustain,utility	block,frontload,scaling,sustain,utility,velocity	YES	early,mid,late	early		encore,salon_member,salon_member_chevalmarin	salon_member	block,frontload,scaling,velocity	block,frontload,scaling,sustain,utility,velocity	block,frontload,scaling,sustain,utility,velocity
furina	mademoiselle_crabaletta	common	salon	enabler	scaling,utility	block,frontload,scaling,velocity	YES	early,mid,late	early		salon_member,salon_member_crabaletta	salon_member	block,frontload,velocity	block,frontload,velocity	block,frontload,velocity
furina	dinner_service	common	salon	glue	block	block		early,mid,late	early,late			salon_member			
furina	usher_the_waves	common	salon	enabler	utility	frontload,utility	YES	early	early						
furina	house_call	common	salon	glue	frontload	frontload		early,mid,late	early,late			salon_member			
furina	suffering_for_art	common	fanfare	enabler	block,sustain,velocity	block,frontload,scaling,velocity	YES	early,mid,late	early,late		encore	fanfare	block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	lasting_impression	common	fanfare	enabler	scaling	block,frontload,scaling,velocity	YES	early	early		encore,fanfare		block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	warmup_act	common	fanfare,generic	glue	block,frontload	block,frontload		early,mid,late	early						
furina	ebb_and_flow	common	fanfare	enabler	sustain,velocity	block,frontload,scaling,velocity	YES	early	early		encore		block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	applause_line	common	fanfare,generic	glue	frontload	frontload		early,mid,late	early,late			fanfare			
furina	held_breath	common	fanfare,generic	glue	block	block		early,mid,late	early,late			fanfare			
furina	breathless	common	fanfare,generic	glue	frontload	frontload		early,mid,late	early,late			encore			
furina	an_invitation	common	spotlight	enabler	utility	block,frontload,velocity	YES	early	early		guest_star		block,frontload,velocity	block,frontload,velocity	block,frontload,velocity
furina	limelight	uncommon	spotlight	enabler	utility	scaling,velocity	YES	early,mid,late	early,late		spotlight	encore,spotlight		scaling	scaling
furina	shared_billing	common	spotlight	glue	utility	scaling,utility,velocity	YES	early,mid,late	early		spotlight	spotlight		scaling	scaling
furina	blocking_notes	common	spotlight,generic	glue	block	block		early,mid,late	early,late			guest_star			
furina	stage_lights	common	spotlight	glue	utility	scaling,utility,velocity	YES	early,mid,late	early	aoe	spotlight	spotlight		scaling	scaling
furina	curtain_cue	uncommon	spotlight,fanfare	glue	sustain	block,frontload,scaling,velocity	YES	late	early,late		encore	spotlight	block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	graceful_retreat	common	generic	glue	block	block		early,mid,late	early,late			encore			
furina	commanding_gaze	common	generic	glue	utility	block,utility	YES	early	early	aoe					
furina	macaron_break	common	generic,fanfare	glue	block,sustain	block,frontload,scaling,velocity	YES	early	early		encore		block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	swelling_overture	common	generic	glue	velocity	velocity		early,mid,late	early,late			encore			
furina	undercurrent	common	salon,generic	enabler	frontload	frontload		mid	early	aoe					
furina	take_your_bow	uncommon	salon	enabler	sustain,utility	utility	YES	early,mid,late	early,late			salon_member			
furina	full_ensemble	uncommon	salon	enabler	scaling,utility	block,frontload,scaling,sustain,utility,velocity	YES	mid,late	early		salon_member,salon_member_chevalmarin,salon_member_crabaletta,salon_member_usher	salon_member	block,frontload,velocity	block,frontload,sustain,utility,velocity	block,frontload,sustain,utility,velocity
furina	grand_salon	uncommon	salon	payoff	scaling	block,frontload,scaling,velocity	YES	late	late		fanfare,salon_member	salon_member	block,frontload,velocity	block,frontload,velocity	block,frontload,scaling,velocity
furina	many_waters_melody	uncommon	salon	glue	block,sustain	block,frontload,scaling,velocity	YES	early,mid,late	early,late		encore	salon_member	block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	dress_rehearsal	uncommon	salon,fanfare	glue	utility,velocity	block,frontload,scaling,velocity	YES	early,mid,late	early		salon_member,salon_member_usher	salon_member	block,frontload,velocity	block,frontload,velocity	block,frontload,velocity
furina	crashing_waves	uncommon	salon,generic	payoff	frontload,utility	frontload	YES	early	late	aoe		aura			
furina	overflowing_hospitality	uncommon	salon	enabler	sustain,utility	block,frontload,scaling,sustain,utility,velocity	YES	mid,late	early		encore,salon_member,salon_member_chevalmarin	salon_member	block,frontload,scaling,velocity	block,frontload,scaling,sustain,utility,velocity	block,frontload,scaling,sustain,utility,velocity
furina	waters_embrace	uncommon	salon,generic	glue	block	block		mid,late	early,late			salon_member			
furina	crescendo	uncommon	fanfare	payoff	frontload,scaling	frontload,scaling		early,mid,late	late			fanfare			
furina	florid_cadenza	uncommon	fanfare	payoff	velocity	velocity		early,mid,late	late			fanfare			
furina	hearts_swelling	uncommon	fanfare,salon	enabler	block,sustain	block,frontload,scaling,velocity	YES	mid,late	early,late		encore	fanfare	block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	pit_orchestra	uncommon	salon,generic	glue	block,sustain	block,frontload,scaling,velocity	YES	late	early		fanfare,salon_member	salon_member	block,frontload,velocity	block,frontload,velocity	block,frontload,scaling,velocity
furina	leading_role	uncommon	spotlight	payoff	velocity	block,frontload,scaling,velocity	YES	late	late		fanfare,spotlight	spotlight	block,frontload,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	supporting_cast	uncommon	spotlight	payoff	velocity	block,frontload,scaling,velocity	YES	late	late		fanfare,spotlight	spotlight	block,frontload,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	guest_list	uncommon	spotlight	enabler	utility	block,frontload,velocity	YES	early	early		guest_star		block,frontload,velocity	block,frontload,velocity	block,frontload,velocity
furina	directors_cut	uncommon	spotlight	glue	velocity	velocity		late	early,late			spotlight			
furina	top_billing	uncommon	spotlight	payoff	scaling	block,frontload,scaling,velocity	YES	late	late		fanfare,spotlight	spotlight	block,frontload,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	duet	uncommon	spotlight	payoff	utility	velocity	YES	early	late						
furina	standing_ovation	uncommon	spotlight	payoff	scaling,sustain	block,frontload,scaling,velocity	YES	late	late		fanfare,spotlight	spotlight	block,frontload,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	fortissimo_guard	uncommon	salon,generic	glue	block	block,frontload,scaling,velocity	YES	mid,late	early		fanfare,salon_member	salon_member	block,frontload,velocity	block,frontload,velocity	block,frontload,scaling,velocity
furina	courtroom_drama	uncommon	generic	glue	utility	block,frontload,scaling,utility,velocity	YES	late	early		fanfare		block,frontload,velocity	block,frontload,velocity	block,frontload,scaling,velocity
furina	quick_change	uncommon	generic	glue	velocity	block,frontload,scaling,velocity	YES	late	early		fanfare		block,frontload,velocity	block,frontload,velocity	block,frontload,scaling,velocity
furina	deep_breath	uncommon	generic,fanfare	glue	sustain,velocity	block,frontload,scaling,velocity	YES	early	early		encore		block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	torrential_turn	uncommon	salon,generic	payoff	frontload,utility	frontload,utility		mid	late			aura			
furina	dramatic_entrance	uncommon	fanfare	payoff	frontload	frontload		early,mid,late	late			fanfare			
furina	witness_stand	uncommon	generic	glue	utility	utility,velocity	YES	early	early						
furina	audience_participation	uncommon	fanfare,generic	glue	sustain,velocity	block,frontload,scaling,velocity	YES	late	early,late		encore	aura	block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	tempo_change	uncommon	fanfare,salon	glue	velocity	velocity		early,mid,late	early,late			salon_member			
furina	poised_riposte	uncommon	generic	glue	frontload	frontload		early,mid,late	early,late			encore			
furina	curtain_up	uncommon	fanfare	enabler	sustain,velocity	block,frontload,scaling,velocity	YES	early	early		encore		block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	matinee_performance	uncommon	salon,generic	payoff	frontload,scaling	frontload	YES	early,mid,late	late			salon_member			
furina	standing_room_only	uncommon	fanfare,generic	payoff	frontload,utility	frontload	YES	early,mid,late	late	aoe		fanfare			
furina	crowd_work	uncommon	fanfare	glue	velocity	block,frontload,scaling,velocity	YES	late	early		fanfare		block,frontload,velocity	block,frontload,velocity	block,frontload,scaling,velocity
furina	let_the_people_rejoice	rare	generic	payoff	frontload,utility	block,frontload,scaling,velocity	YES	early,mid,late	late	aoe	encore	burst,fanfare	block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	encore_performance	rare	spotlight	payoff	scaling,utility	velocity	YES	early	late						
furina	singer_of_many_waters	rare	generic,salon	payoff	sustain	sustain		early	late						
furina	unheard_confession	rare	fanfare,generic	payoff	block	block,frontload,scaling,velocity	YES	mid,late	late		fanfare	fanfare	block,frontload,velocity	block,frontload,velocity	block,frontload,scaling,velocity
furina	endless_waltz	rare	salon	payoff	scaling	block,frontload,scaling,velocity	YES	mid,late	late		fanfare,salon_member,salon_member_crabaletta,salon_member_usher	salon_member	block,frontload,velocity	block,frontload,velocity	block,frontload,scaling,velocity
furina	grand_gala	rare	salon	payoff	scaling,utility	block,frontload,scaling,sustain,utility,velocity	YES	mid,late	late		encore,salon_member,salon_member_chevalmarin,salon_member_crabaletta,salon_member_usher	salon_member	block,frontload,scaling,velocity	block,frontload,scaling,sustain,utility,velocity	block,frontload,scaling,sustain,utility,velocity
furina	the_sea_is_my_stage	rare	fanfare	payoff	scaling	block,frontload,scaling,velocity	YES	late	late		fanfare		block,frontload,velocity	block,frontload,velocity	block,frontload,scaling,velocity
furina	universal_revelry	rare	fanfare	payoff	frontload,scaling	frontload	YES	mid,late	late	aoe		fanfare			
furina	star_of_the_show	rare	spotlight	payoff	scaling	block,frontload,scaling,velocity	YES	late	late		fanfare,spotlight	spotlight	block,frontload,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	prima_donna	rare	spotlight	payoff	velocity	block,frontload,scaling,velocity	YES	mid,late	late		fanfare,spotlight	spotlight	block,frontload,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	high_tide	rare	salon,fanfare	payoff	frontload	frontload		early,mid,late	late			fanfare			
furina	rain_of_roses	rare	salon,spotlight	payoff	utility	block,frontload,scaling,utility,velocity	YES	early	late	aoe	encore		block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	the_final_verdict	rare	fanfare	payoff	frontload,scaling	frontload	YES	mid,late	late			fanfare			
furina	command_performance	rare	spotlight	payoff	utility	block,frontload,velocity	YES	early	late		guest_star		block,frontload,velocity	block,frontload,velocity	block,frontload,velocity
furina	reginas_mercy	rare	generic,fanfare	payoff	scaling,sustain	block,frontload,scaling,velocity	YES	early	late		encore,fanfare		block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	thunderous_ovation	rare	fanfare,generic	payoff	block	block		early,mid,late	late			fanfare			
furina	flood_of_emotion	rare	fanfare	payoff	frontload	frontload		early,mid,late	late			fanfare			
furina	showstopper	rare	fanfare	payoff	frontload,sustain	block,frontload,scaling,velocity	YES	early,mid,late	late		encore		block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
furina	rapturous_applause	rare	fanfare	payoff	scaling	block,frontload,scaling,velocity	YES	late	late		fanfare	fanfare	block,frontload,velocity	block,frontload,velocity	block,frontload,scaling,velocity
kokomi	waters_edge	basic	generic	glue	frontload	frontload		early	early						
kokomi	coral_guard	basic	generic	glue	block	block		early	early						
kokomi	bake_kurage	basic	generic	enabler	scaling,utility	block,frontload,scaling	YES	early	early		bake_kurage,charge		frontload	block,frontload,scaling	block,frontload,scaling
kokomi	tactical_retreat	basic	generic	enabler	velocity	velocity		early	early						
kokomi	tide_reading	basic	generic	glue	block,velocity	block,velocity		early	early						
kokomi	conscription_notice	common	commander	enabler	utility	block,frontload,velocity	YES	early	early		conscript		block,frontload,velocity	block,frontload,velocity	block,frontload,velocity
kokomi	to_the_front	common	commander	enabler	utility	block,frontload,velocity	YES	early	early		conscript		block,frontload,velocity	block,frontload,velocity	block,frontload,velocity
kokomi	votive_offering	common	priest	glue	block	block,frontload,scaling,utility	YES	early	early		charge		frontload	frontload	frontload,scaling
kokomi	ritual_purification	common	priest	enabler	scaling,utility	frontload,scaling,utility,velocity	YES	early	early		charge		frontload	frontload	frontload,scaling
kokomi	waterspout	common	priest,generic	glue	frontload	frontload		early	early						
kokomi	cleansing_tide	common	priest	glue	block	block,frontload,scaling,utility	YES	mid	early		charge		frontload	frontload	frontload,scaling
kokomi	undertow_shuffle	common	assist	glue	velocity	velocity		early	early						
kokomi	moon_signal	common	assist	enabler	velocity	velocity		early	early						
kokomi	drifting_lantern	common	assist,generic	glue	block	block		early	early						
kokomi	surging_shoal	common	generic,priest	glue	frontload,utility	frontload	YES	early	early	aoe					
kokomi	jade_bulwark	common	generic	glue	block	block		early	early						
kokomi	pulsing_current	common	generic,priest	glue	frontload,scaling	frontload,scaling		early	early		charge		frontload	frontload	frontload,scaling
kokomi	kurages_oath	common	priest,generic	payoff	block,sustain	block,frontload,scaling	YES	late	early,late		bake_kurage	bake_kurage		block,frontload,scaling	block,frontload,scaling
kokomi	before_sun_and_moon	uncommon	priest,generic	payoff	scaling	block,frontload,scaling	YES	late	late		bake_kurage	bake_kurage		block,frontload,scaling	block,frontload,scaling
kokomi	standing_orders	common	commander	enabler	block,utility	block,frontload,velocity	YES	early	early		conscript		block,frontload,velocity	block,frontload,velocity	block,frontload,velocity
kokomi	signal_arrow	common	commander	glue	frontload,utility	block,frontload,velocity	YES	early	early		conscript		block,frontload,velocity	block,frontload,velocity	block,frontload,velocity
kokomi	shoulder_to_shoulder	common	commander	payoff	scaling,utility	frontload,scaling,utility,velocity	YES	early	early,late		charge		frontload	frontload	frontload,scaling
kokomi	vow_of_tides	common	priest,generic	glue	frontload	frontload		early	early	aoe					
kokomi	pearl_diver	common	priest	enabler	scaling	frontload,scaling,utility	YES	early	early		charge		frontload	frontload	frontload,scaling
kokomi	tideline_watch	common	priest	glue	block	block,frontload,scaling,utility	YES	early	early		charge		frontload	frontload	frontload,scaling
kokomi	whispered_word	common	assist	glue	block,velocity	block,velocity		early	early						
kokomi	driftwood_charm	common	assist,generic	glue	block,velocity	block,frontload,scaling,velocity	YES	early	early		charge		frontload	frontload	frontload,scaling
kokomi	scattering_spray	common	assist,generic	glue	frontload,velocity	frontload,velocity		early	early	aoe					
kokomi	ebb_tide	common	assist	enabler	velocity	frontload,scaling,utility,velocity	YES	early	early		charge		frontload	frontload	frontload,scaling
kokomi	salt_line	common	assist,generic	glue	block	block,frontload,scaling,utility	YES	early	early		charge		frontload	frontload	frontload,scaling
kokomi	slack_water	common	generic	glue	block	block		early	early						
kokomi	tideturn	common	generic	glue	frontload,velocity	frontload,velocity		early	early						
kokomi	steady_the_line	common	generic,assist	glue	block	block,velocity	YES	early	early						
kokomi	all_streams_flow	uncommon	priest,generic	payoff	frontload,scaling	frontload	YES	early,mid,late	late			charge			
kokomi	mass_mobilization	uncommon	commander	enabler	scaling,utility	block,frontload,scaling,velocity	YES	mid	early		charge,conscript		block,frontload,velocity	block,frontload,velocity	block,frontload,scaling,velocity
kokomi	field_promotion	uncommon	commander	enabler	utility,velocity	block,frontload,velocity	YES	early	early		conscript		block,frontload,velocity	block,frontload,velocity	block,frontload,velocity
kokomi	reinforcements	uncommon	commander	payoff	scaling,utility	block,frontload,scaling,utility,velocity	YES	mid	late		charge,conscript		block,frontload,velocity	block,frontload,velocity	block,frontload,scaling,velocity
kokomi	mercy_of_the_deep	uncommon	priest	payoff	block,scaling	block	YES	late	late						
kokomi	pearl_barrage	uncommon	priest	payoff	frontload,scaling	frontload	YES	late	late			exhaust_pile			
kokomi	communion_of_tides	uncommon	priest,assist	glue	velocity	frontload,scaling,utility,velocity	YES	early	early		charge		frontload	frontload	frontload,scaling
kokomi	rearguard_action	uncommon	assist	glue	block,velocity	block,velocity		early	early						
kokomi	shell_of_sanctuary	uncommon	generic	glue	block	block		mid	early						
kokomi	exposing_current	uncommon	priest,generic	enabler	frontload,utility	frontload,utility		early	early						
kokomi	tidal_lure	uncommon	assist,generic	glue	block,utility	block,utility		early	early						
kokomi	honor_guard	rare	commander	payoff	utility	velocity	YES	mid	late						
kokomi	press_the_advantage	uncommon	commander	payoff	frontload,utility	block,frontload,velocity	YES	early	late		conscript		block,frontload,velocity	block,frontload,velocity	block,frontload,velocity
kokomi	moonlit_offering	rare	priest,assist	enabler	velocity	velocity		early	late						
kokomi	read_the_current	uncommon	priest,generic	payoff	frontload,scaling	frontload	YES	early,mid,late	late			charge			
kokomi	quiet_harbor	uncommon	assist	payoff	block,velocity	block,velocity		early	late						
kokomi	driftglass	uncommon	assist,generic	glue	frontload	frontload		early	early						
kokomi	undertow	uncommon	assist	payoff	scaling,velocity	frontload,velocity	YES	early,mid,late	late			exhaust_pile			
kokomi	pearl_current	uncommon	generic	payoff	block	block		late	late						
kokomi	the_tide_remembers	uncommon	priest,generic	payoff	frontload,scaling	frontload	YES	mid,late	late	aoe		exhaust_pile			
kokomi	ceremonial_garment	rare	generic	payoff	scaling	scaling		late	late			burst,charge			
kokomi	nereids_ascension	rare	priest,generic	payoff	frontload,scaling	frontload	YES	mid,late	late	aoe		charge			
kokomi	sango_prayer	rare	priest,generic	payoff	sustain,utility	block,utility	YES	early	late	aoe					
kokomi	vigil_of_the_deep	rare	priest,generic	payoff	block,sustain	sustain	YES	mid,late	late						
kokomi	grand_conscription	rare	commander	payoff	scaling,utility	block,frontload,scaling,velocity	YES	mid	late		charge,conscript		block,frontload,velocity	block,frontload,velocity	block,frontload,scaling,velocity
kokomi	depths_judgment	rare	priest	payoff	frontload,scaling	frontload	YES	mid,late	late			exhaust_pile			
kokomi	epiphany_of_the_deep	rare	priest,assist	payoff	scaling,velocity	velocity	YES	mid,late	late						
kokomi	prayer_to_the_moon	rare	priest,generic	payoff	block,scaling	block,frontload,scaling	YES	early	late		charge		frontload	frontload	frontload,scaling
