body	face	base_entry	display_name	size_class	notes
iktomisaurus_chick	NATLAN	TOUGH_EGG	Iktomisaurus Chick	regular	
hydro_samachurl	NATLAN	THE_OBSCURA	Hydro Samachurl	regular	palette
hydro_samachurl	NATLAN	PARAFRIGHT	Hydro Samachurl	regular	palette; one plate, both halves of the pair
rock_shield_hilichurl_guard	NATLAN	DECIMILLIPEDE_SEGMENT_FRONT	Rock Shield Hilichurl Guard	elite	palette; one plate, all three segments
rock_shield_hilichurl_guard	NATLAN	DECIMILLIPEDE_SEGMENT_MIDDLE	Rock Shield Hilichurl Guard	elite	palette; one plate, all three segments
rock_shield_hilichurl_guard	NATLAN	DECIMILLIPEDE_SEGMENT_BACK	Rock Shield Hilichurl Guard	elite	palette; one plate, all three segments
yumkasaurus_warrior_flowing_skyfire	NATLAN	ENTOMANCER	Yumkasaurus Warrior: Flowing Skyfire	elite	
rock_cavernous_wayob_manifestation	NATLAN	INFESTED_PRISM	Rock-Cavernous Wayob Manifestation	elite	
everlasting_lord_of_arcane_wisdom	NATLAN	KNOWLEDGE_DEMON	Shouki no Kami	boss	Natlan borrows Sumeru's body
magatsu_mitake_narukami_no_mikoto	NATLAN	CRUSHER	Magatsu Mitake Narukami no Mikoto	boss	Natlan borrows Inazuma's body
magatsu_mitake_narukami_no_mikoto	NATLAN	ROCKET	Magatsu Mitake Narukami no Mikoto	boss	one plate, both crab slots
nobushi_kikouban	INAZUMA	BOWLBUG_ROCK	Nobushi: Kikouban	regular	palette
nobushi_kikouban	INAZUMA	BOWLBUG_SILK	Nobushi: Kikouban	regular	palette; one plate, whole pod
thundercraven_rifthound_whelp	INAZUMA	EXOSKELETON	Thundercraven Rifthound Whelp	regular	
thundercraven_rifthound	INAZUMA	TUNNELER	Thundercraven Rifthound	regular	
rockfond_rifthound	INAZUMA	CHOMPER	Rockfond Rifthound	regular	shares its plate with MONDSTADT/MAWLER
primordial_bathysmal_vishap	INAZUMA	HUNTER_KILLER	Primordial Bathysmal Vishap	regular	
wooden_shieldwall_mitachurl	INAZUMA	LOUSE_PROGENITOR	Wooden Shieldwall Mitachurl	regular	palette
dendro_samachurl	INAZUMA	MYTE	Dendro Samachurl	regular	palette
fatui_cryo_cicin_mage	INAZUMA	OVICOPTER	Fatui Cryo Cicin Mage	regular	palette
fatui_cryo_cicin_mage	INAZUMA	TOUGH_EGG	Fatui Cryo Cicin Mage	regular	palette; one plate, mage and eggs
hydro_samachurl	INAZUMA	THE_OBSCURA	Hydro Samachurl	regular	palette
hydro_samachurl	INAZUMA	PARAFRIGHT	Hydro Samachurl	regular	palette
electro_specter	INAZUMA	DECIMILLIPEDE_SEGMENT_FRONT	Electro Specter	elite	palette
electro_specter	INAZUMA	DECIMILLIPEDE_SEGMENT_MIDDLE	Electro Specter	elite	palette
electro_specter	INAZUMA	DECIMILLIPEDE_SEGMENT_BACK	Electro Specter	elite	palette
kairagi_fiery_might	INAZUMA	ENTOMANCER	Kairagi: Fiery Might	elite	palette
electro_specter	INAZUMA	INFESTED_PRISM	Electro Specter	elite	palette; one plate, segments and prism
magatsu_mitake_narukami_no_mikoto	INAZUMA	CRUSHER	Magatsu Mitake Narukami no Mikoto	boss	
magatsu_mitake_narukami_no_mikoto	INAZUMA	ROCKET	Magatsu Mitake Narukami no Mikoto	boss	one plate, both crab slots
geo_samachurl	FONTAINE	DEVOTED_SCULPTOR	Geo Samachurl	regular	palette
hydro_specter	FONTAINE	SCROLL_OF_BITING	Hydro Specter	regular	palette
construction_specialist_mek	FONTAINE	LIVING_SHIELD	Construction Specialist Mek	regular	
area_alert_mek	FONTAINE	TURRET_OPERATOR	Area Alert Mek	regular	
assault_specialist_mek	FONTAINE	AXEBOT	Assault Specialist Mek	regular	
suppression_specialist_mek	FONTAINE	PUNCH_CONSTRUCT	Suppression Specialist Mek	regular	
overgrown_breacher_primus	FONTAINE	CUBEX_CONSTRUCT	Overgrown Breacher Primus	regular	
annihilation_specialist_mek	FONTAINE	FABRICATOR	Annihilation Specialist Mek	regular	
frostarm_lawachurl	FONTAINE	FROG_KNIGHT	Frostarm Lawachurl	regular	palette
mirror_maiden	FONTAINE	MAGI_KNIGHT	Mirror Maiden	elite	palette; one plate anchors the whole gang
mirror_maiden	FONTAINE	FLAIL_KNIGHT	Mirror Maiden	elite	palette; one plate anchors the whole gang
mirror_maiden	FONTAINE	SPECTRAL_KNIGHT	Mirror Maiden	elite	palette; one plate anchors the whole gang
shatterstone_breacher_primus	FONTAINE	MECHA_KNIGHT	Large Shatterstone Breacher Primus	elite	
electro_regisvine	FONTAINE	SOUL_NEXUS	Electro Regisvine	elite	palette
iniquitous_baptist	FONTAINE	TEST_SUBJECT	Iniquitous Baptist	boss	
prototype_cal_breguet	FONTAINE	AEONGLASS	Prototype: Cal. Breguet	boss	
eremite_scorching_loremaster	SUMERU	DEVOTED_SCULPTOR	Eremite Scorching Loremaster	regular	
eremite_linebreaker	SUMERU	SCROLL_OF_BITING	Eremite Linebreaker	regular	
eremite_ravenbeak_halberdier	SUMERU	LIVING_SHIELD	Eremite Ravenbeak Halberdier	regular	
eremite_crossbow	SUMERU	TURRET_OPERATOR	Eremite Crossbow	regular	
golden_wolflord	SUMERU	FABRICATOR	Golden Wolflord	regular	
eremite_stone_enchanter	SUMERU	FROG_KNIGHT	Eremite Stone Enchanter	regular	
eremite_daythunder	SUMERU	GLOBE_HEAD	Eremite Daythunder	regular	
consecrated_horned_crocodile	SUMERU	SLIMED_BERSERKER	Consecrated Horned Crocodile	regular	
eremite_sunfrost	SUMERU	MAGI_KNIGHT	Eremite Sunfrost	elite	one plate anchors the whole war-band
eremite_sunfrost	SUMERU	FLAIL_KNIGHT	Eremite Sunfrost	elite	one plate anchors the whole war-band
eremite_sunfrost	SUMERU	SPECTRAL_KNIGHT	Eremite Sunfrost	elite	one plate anchors the whole war-band
consecrated_red_vulture	SUMERU	MECHA_KNIGHT	Consecrated Red Vulture	elite	
warden_of_oasis_prime	SUMERU	TEST_SUBJECT	Apep's Guardian	boss	
everlasting_lord_of_arcane_wisdom	SUMERU	AEONGLASS	Shouki no Kami	boss	one plate, two bosses
pyro_abyss_mage	MONDSTADT		Pyro Abyss Mage	elite	scene only: PHANTASMAL_GARDENER is one Id.Entry and hydro_abyss_mage holds it
electro_abyss_mage	MONDSTADT		Electro Abyss Mage	elite	scene only: PHANTASMAL_GARDENER is one Id.Entry and hydro_abyss_mage holds it
cryo_abyss_mage	MONDSTADT		Cryo Abyss Mage	elite	scene only: PHANTASMAL_GARDENER is one Id.Entry and hydro_abyss_mage holds it
rock_shield_hilichurl_guard	LIYUE		Rock Shield Hilichurl Guard	elite	the Liyue camp's second half; the plate's live rows are NATLAN's Decimillipede segments
chanca	NATLAN		Chanca	regular	scene only: the Ancient Tezcatara is an AncientEventModel, not a MonsterModel
hirayama	INAZUMA		Hirayama	regular	scene only: the Ancient Darv is an AncientEventModel, not a MonsterModel
liloupar	SUMERU		Liloupar	regular	scene only: the Ancient Vakuu is an AncientEventModel, not a MonsterModel
